商品品牌,商品型号,,,
Apple,iPadmini平板电脑7.9英寸（128GWLAN版/MK9P2CH）,,,
Apple,iPhone8256GB,,,
Apple,iPhone8Plus256GB,,,
Apple,iPhone8Plus64GB,,,
Apple,iPadPro平板电脑10.5英寸(64GWLAN版/Retina屏/TouchID/MQDY2CH/A),,,
Apple,iPad9.7英寸(32GWLAN版/Retina屏/TouchID/MP2G2CH/A),,,
Apple,iPad9.7英寸(32GWLAN版/Retina屏/TouchID/MPGT2CH/A),,,
Apple,iMacMMQA2CH/A21.5英寸一体电脑(i52.3G双核/8G/1T/IntelIris640核显),,,
Apple,iMacMNDY2CH定制版一体机电脑(i5-3.0GHz/16G/1TfusionDrive/RadeonPro图形处理器),,,
Apple,iMacMNDY2CH/A21.5英寸一体电脑(i53.0G四核/8G/1T/RadeonPro2G独显/Retina4K),,,
Apple,iMacMNE02CH/A21.5英寸一体电脑(i53.4G四核/8G/1TFusion/RadeonPro4G独显/Retina4K),,,
Apple,iMacMNE92CH/A27英寸一体电脑(i53.4G四核/8G/1TFusion/RadeonPro4G独显/Retina5K),,,
Apple,iMacMNED2CH/A27英寸一体电脑(i53.8G四核/8G/2TFusion/RadeonPro8G独显/Retina5K),,,
Apple,iMacMNED2CH/A定制版27英寸一体电脑(i74.2G四核/32G/3TFusion/RadeonPro8G独显/Retina5K),,,
Apple,MacbookAirMQD32CH/A13.3英寸笔记本电脑(i5/8G/128G/IntelHD6000),,,
Apple,MacbookAirMQD42CH/A13.3英寸笔记本电脑(i5/8G/256G/IntelHD6000),,,
Apple,MacbookMNYF2CH/A12英寸深空灰色(CoreM3/8G/256G/IntelHD615/Retina),,,
Apple,MacbookMNYK2CH/A12英寸金色(CoreM3/8G/256G/IntelHD615/Retina),,,
Apple,MacbookProMPXQ213.3英寸笔记本电脑(i5-2.3G/8G/128G/IntelIris640/Retina/无Multi-Touch),,,
Apple,MacbookProMPXU213.3英寸笔记本电脑(i5-2.3G/8G/256G/IntelIris640/Retina/无Multi-Touch),,,
Apple,MacbookProMPXV213.3英寸笔记本电脑(i5-3.1G/8G/256G/IntelIris650/Retina/含Multi-Touch&ID),,,
Apple,MacbookProMPXY213.3英寸笔记本电脑(i5-3.1G/8G/512G/IntelIris650/Retina/含Multi-Touch&ID),,,
Apple,iMacMNDY2CH/A定制版一体机电脑(i7-3.6GHz/16G/1TSATA/RadeonPro5552G独显/21.5英寸Rentina),,,
Apple,MacbookProMPTT215.4英寸笔记本电脑(i7-2.9G/16G/512G/RadeonPro5604G/Retina/含Multi-Touch&ID),,,
Apple,MacbookProMPTV215.4英寸笔记本电脑(i7-2.9G/16G/512G/RadeonPro5604G/Retina/含Multi-Touch&ID),,,
Apple,MacbookProMPXV2定制版13.3英寸笔记本电脑(i7-3.5G/16G/256G/IntelIris650/Retina/含Multi-TouchID),,,
戴尔DELL,T130服务器(E3-1220v6/16G/1T7.2KRPMSATA6Gbps*2/PERCH330集成RAID控制器/On-BoardLOM1GBE双端口),,,
戴尔DELL,3050MT单主机(i5-7500/8G/1T/GTX1050Ti4GB/Win10Home),,,
戴尔DELL,3050MT单主机(i5-7500/8G/256GSSD/GTX1050Ti4GB/Win10Home),,,
戴尔DELL,3050MT单主机(i7-7700/16G/256GSSD/GTX1050Ti4GB/Win10Home),,,
戴尔DELL,3050MT单主机(i7-7700/16G/256GSSD+1T/GTX1050Ti4GB/Win10Home),,,
戴尔DELL,E348014英寸笔记本电脑(i5-7200U/8G/500G/AMDRadeonR5M430独显/无线适配器/蓝牙/Windows10英文专业版),,,
戴尔DELL,LatitudeE5480H14英寸笔记本电脑i7-7820H/16G/256GSSD/集显/FHD/win10,,,
戴尔DELL,LatitudeE5480H14英寸笔记本电脑i5-7440H/8G/256GSSD/FHD/Win10,,,
戴尔DELL,LatitudeE5480U14英寸笔记本电脑(i5-7200U/8G/480GSSD/核显),,,
戴尔DELL,LatitudeE5480U14英寸笔记本电脑i5-7200U/8G/256GSSD/Win10,,,
戴尔DELL,LatitudeE5480U14英寸笔记本电脑i5-7200U/8G/500G/Win10,,,
戴尔DELL,P2317H23英寸旋转升降IPS液晶显示器,,,
戴尔DELL,E2016HM19.5英寸显示器LED背光,,,
戴尔DELL,LatitudeE348014英寸笔记本电脑i5-7200U/8G/256GSSD/集显/HD/Win10,,,
戴尔DELL,LatitudeE348014英寸笔记本电脑i5-7200U/8G/500G/集显/HD/Win10,,,
戴尔DELL,3050SFF单主机(i5-6500/DVD+/-RW/8G/1T/核心显卡/Win10home),,,
戴尔DELL,3050SFF单主机(i5-7500/8G/1T/HD630核显/Win10Home),,,
戴尔DELL,3050SFF单主机(i5-7500/8G/256GSSD/2GB独显/Win10),,,
戴尔DELL,3050SFF单主机(i5-7500/8G/256GSSD/HD630核显/Win10Home),,,
戴尔DELL,3050SFF单主机(i7-7700/16G/1T/2GB独显/Win10),,,
戴尔DELL,3050SFF单主机(i7-7700/16G/256GSSD/HD630核显/Win10Home),,,
戴尔DELL,3050SFF单主机(i7-7700/32G/1T/核显/Win10home),,,
