序号,商品品牌,商品型号,,
1,北京汽车,E150,,
2,奔腾,B50,,
3,奔腾,B70,,
4,本田,缤智,,
5,本田,思威,,
6,比亚迪,宋MAX,,
7,比亚迪,F3,,
8,标致,3008,,
9,别克,昂科威,,
10,别克,昂科拉,,
11,一汽大众,速腾,,
12,一汽大众,捷达,,
13,一汽大众,迈腾,,
14,一汽大众,New Polo,,
15,一汽大众,朗逸,,
16,东风标致,308,,
17,东风风光,风光S560,,
18,东风风光,风光580,,
19,东风风行,景逸X5,,
20,东风风行,景逸XV,,
21,东风风神,风神AX4,,
22,东风日产,轩逸,,
23,东风日产,天籁,,
24,东风雪铁龙,C3-XR,,
25,东风悦达起亚,K3,,
26,东风悦达起亚,K2,,
27,丰田,汉兰达,,
28,丰田,凯美瑞,,
29,丰田,威驰,,
30,丰田,卡罗拉,,
31,丰田,花冠,,
32,福特,福克斯,,
33,福特,蒙迪欧,,
34,广汽传祺,GS4,,
35,海马汽车,海马S5,,
36,华晨金杯,金杯T50,,
37,华晨汽车,中华V3,,
38,吉利,远景SUV,,
39,吉利汽车,帝豪GL,,
40,吉利汽车,新帝豪,,
41,吉利汽车,远景,,
42,猎豹汽车,CS10,,
43,马自达,马自达6 阿特兹,,
44,马自达,马自达8,,
45,纳智捷,大7,,
46,奇瑞,瑞虎,,
47,奇瑞,E5,,
48,起亚,福瑞迪,,
49,起亚,K2,,
51,东风日产,骊威,,
52,上汽大众,POLO,,
54,上汽大众斯柯达,斯柯达明锐,,
55,上汽大众斯柯达,斯柯达昕锐,,
56,上汽名爵,名爵ZS,,
57,上汽荣威,荣威RX5,,
58,上汽通用别克,英朗,,
59,上汽通用五菱,五菱宏光S,,
60,上汽通用五菱,宝骏510,,
61,上汽通用五菱,五菱之光,,
62,上汽通用五菱,五菱荣光V,,
63,上汽通用五菱,宝骏310W,,
64,上汽通用雪佛兰,科沃兹,,
65,上汽通用雪佛兰,科鲁兹,,
66,现代,ix35,,
67,现代,索纳塔,,
68,现代,朗动,,
69,现代,新胜达,,
71,雪铁龙,世嘉,,
73,长安汽车,睿骋,,
74,长城,WEY VV5s,,
75,长城,哈弗H6,,
76,长城,M6,,
77,长城,哈弗M4,,
78,长城,哈弗H1,,
79,众泰,T600,,
